real_name,din_pbias,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,NSE
15,3.24579,65575.6,118369.0,59594.3,50857.1,23430.7,12394.1,26710.2,76848.9,13748.2,0.45451700388096017
16,0.548613,66293.6,120504.0,56929.9,51473.6,21769.3,10803.2,23880.0,72035.6,12147.6,0.4507822026990359
17,3.30967,69558.7,131072.0,66295.7,51872.7,22531.4,10720.8,22907.2,64989.0,7857.3,0.2888727685693201
18,7.298030000000002,72938.1,142130.0,63739.6,55784.0,26490.5,11137.8,22804.1,60616.7,9452.6,0.19128093152379888
19,-7.787160000000001,61848.6,114449.0,59802.4,45616.3,19724.8,9919.56,20822.4,60488.6,7032.88,0.4856160025265561
20,-0.441808,68592.0,130153.0,57983.1,52760.2,21620.1,9043.4,20590.9,61731.5,9069.93,0.3551340611451582
21,-6.5617100000000015,62046.7,114305.0,61252.7,46375.0,18922.7,9900.69,21645.1,63361.1,7207.81,0.4621258394208475
22,1.62336,63138.6,113476.0,66103.0,47478.0,22198.7,13178.5,27590.6,76203.6,11128.6,0.4331107919890801
23,-1.00759,65203.3,113204.0,56044.6,49386.9,20257.7,11002.5,24058.9,77393.8,12540.2,0.43855145149895913
24,22.0135,79464.9,135808.0,74530.9,60247.8,21100.1,12744.4,30577.2,100599.0,13806.8,-0.38624058298169195
25,-14.96,55382.3,101578.0,47092.5,43522.9,19016.1,9189.53,20700.9,60950.6,11180.4,0.5804964737074647
26,0.695079,63808.7,119481.0,63227.7,48662.8,23918.6,12669.6,25902.9,68001.5,10799.5,0.49811054438594005
27,5.09524,71920.9,133770.0,61982.0,54580.5,22607.8,10206.2,22448.4,68233.8,9795.49,0.254321017329981
28,22.0669,87349.8,152795.0,81218.3,61264.8,20547.9,10398.7,23338.7,86352.4,5844.51,-0.7257595569568422
29,-3.66814,64756.6,124601.0,56795.9,49446.4,23829.1,10653.9,21351.4,56878.1,9246.97,0.4992530004764515
30,2.64805,65481.4,122903.0,65226.1,49735.6,24187.0,12665.5,26006.8,68366.5,10365.7,0.4455631582810501
31,0.333645,65200.0,119770.0,64235.4,48742.0,22184.2,12008.5,24645.1,68783.5,9337.06,0.44038719061328613
32,-1.69947,67965.0,129770.0,58771.6,51560.4,22102.8,9549.41,20207.3,58222.7,7943.65,0.3721734140780333
33,-12.0468,62290.8,117206.0,52592.9,46583.7,18417.8,7585.49,16851.0,53333.7,6380.04,0.454814081875063
34,-20.5198,55564.8,101785.0,48430.9,41713.1,15276.2,6937.64,15964.5,52809.7,6032.82,0.4606864227485692
35,-15.5235,59588.0,111453.0,52071.7,44169.3,17500.7,7830.13,16582.7,51426.7,5549.35,0.4727782865620693
36,-3.67294,65581.2,127049.0,57076.1,50776.9,22200.0,9085.19,20248.6,56885.7,8635.34,0.4318978617253093
